organism,regional_centre,antibiotic,year,susceptible_n,tested_n,susceptible_pct,source_report_year,source_table,source_url,extracted_date,reported_pct,computed_pct,flags
Escherichia coli,RC6,ceftazidime,2024,0,0,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,,"no_isolates_tested,pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,ciprofloxacin,2023,2,237,0.8,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,0.8,0.84,
Escherichia coli,RC6,ciprofloxacin,2024,10,753,1.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,1.3,1.33,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,ertapenem,2023,156,236,66.1,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,66.1,66.1,
Escherichia coli,RC6,ertapenem,2024,465,753,61.8,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,61.8,61.75,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,imipenem,2023,166,237,70.0,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,70.0,70.04,
Escherichia coli,RC6,imipenem,2024,510,751,67.9,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,67.9,67.91,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,levofloxacin,2023,1,4,,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,,25.0,pct_suppressed_in_source
Escherichia coli,RC6,levofloxacin,2024,0,9,,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,,0.0,"pct_suppressed_in_source,rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,meropenem,2023,162,237,68.4,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,68.4,68.35,
Escherichia coli,RC6,meropenem,2024,514,753,68.3,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,68.3,68.26,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC6,piperacillin-tazobactam,2023,113,237,47.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,47.7,47.68,
Escherichia coli,RC6,piperacillin-tazobactam,2024,329,753,43.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,43.7,43.69,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC7,amikacin,2023,87,115,75.7,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,75.7,75.65,
Escherichia coli,RC7,amikacin,2024,251,303,82.8,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,82.8,82.84,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC7,cefotaxime,2023,4,44,9.1,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,9.1,9.09,
Escherichia coli,RC7,cefotaxime,2024,12,72,16.7,2024,Table 2.10,https://www.icmr.gov.in/icmrobject/uploads/Report/1763981012_icmramrsnannualreport2024.pdf,2026-08-31,16.7,16.67,"rc_panel_changed(baseline=2023,added=[],dropped=[RC15])"
Escherichia coli,RC7,ceftazidime,2023,18,34,52.9,2023,Table 3.10,https://www.icmr.gov.in/icmrobject/uploads/Documents/1725536060_annual_report_2023.pdf,2026-08-31,52.9,52.94,
